id  ; name         ; slogan
   1; Devpoint     ; strategize sexy markets
   2; Jatri        ; transition mission-critical channels
   3; Chatterbridge; transform e-business content
   4; Thoughtmix   ; exploit one-to-one convergence
   5; Meejo        ; iterate leading-edge e-services
   6; Zoozzy       ; whiteboard synergistic web-readiness
   7; Zava         ; synthesize holistic markets
   8; Jabberbean   ; maximize holistic architectures
   9; DabZ         ; optimize 24/365 platforms
  10; Blogtags     ; enhance 24/365 systems
  11; Ntags        ; morph enterprise schemas
  12; Tagcat       ; facilitate extensible relationships
  13; Dablist      ; whiteboard ubiquitous technologies
  14; Youopia      ; grow B2B infrastructures
  15; Youopia      ; envisioneer cutting-edge metrics
  16; Edgeblab     ; embrace cutting-edge paradigms
  17; Skidoo       ; orchestrate seamless web-readiness
  18; Rhyzio       ; scale next-generation partnerships
  19; Gabtype      ; synthesize turn-key metrics
  20; Photolist    ; optimize distributed solutions
  21; Roomm        ; target cutting-edge communities
  22; Youfeed      ; transition bricks-and-clicks markets
  23; Feedspan     ; reinvent robust ROI
  24; Mita         ; envisioneer best-of-breed schemas
  25; Yakidoo      ; orchestrate plug-and-play communities
  26; Meeveo       ; drive back-end technologies
  27; Dynava       ; leverage interactive content
  28; Bubblebox    ; drive vertical markets
  29; Vimbo        ; generate granular deliverables
  30; Oyoba        ; orchestrate plug-and-play initiatives
  31; Skynoodle    ; streamline one-to-one models
  32; Skyba        ; maximize B2B web services
  33; Skimia       ; recontextualize end-to-end niches
  34; Tagpad       ; leverage one-to-one methodologies
  35; Aibox        ; orchestrate virtual technologies
  36; Nlounge      ; extend leading-edge niches
  37; Meejo        ; productize 24/365 methodologies
  38; Buzzbean     ; disintermediate impactful mindshare
  39; Quamba       ; brand cross-media schemas
  40; Trunyx       ; morph robust channels
  41; Voolia       ; productize transparent portals
  42; Npath        ; exploit turn-key networks
  43; Topiclounge  ; integrate 24/365 systems
  44; Zoombox      ; repurpose turn-key communities
  45; Leexo        ; engage dot-com synergies
  46; Rhyzio       ; synergize robust bandwidth
  47; Innojam      ; reintermediate ubiquitous supply-chains
  48; Fivechat     ; target rich systems
  49; Ozu          ; cultivate granular web-readiness
  50; Quatz        ; scale next-generation eyeballs
  51; Myworks      ; morph mission-critical infomediaries
  52; Oyope        ; implement interactive partnerships
  53; Wordware     ; iterate granular functionalities
  54; Bubblebox    ; generate open-source e-markets
  55; Quimba       ; implement value-added paradigms
  56; Chatterbridge; optimize web-enabled eyeballs
  57; Plajo        ; recontextualize killer technologies
  58; Flipbug      ; enable strategic methodologies
  59; Shuffletag   ; transition visionary action-items
  60; Buzzster     ; aggregate robust web-readiness
  61; Flashspan    ; redefine value-added eyeballs
  62; Thoughtstorm ; extend value-added web-readiness
  63; Rhyzio       ; e-enable bricks-and-clicks niches
  64; Vimbo        ; extend strategic action-items
  65; Bubbletube   ; evolve holistic infomediaries
  66; Livetube     ; mesh intuitive ROI
  67; Photobug     ; transition dot-com relationships
  68; Lajo         ; mesh granular e-services
  69; Skipstorm    ; visualize bleeding-edge action-items
  70; Kazu         ; monetize 24/365 partnerships
  71; Skibox       ; cultivate out-of-the-box vortals
  72; Twimm        ; innovate revolutionary e-markets
  73; Topicware    ; exploit bricks-and-clicks infrastructures
  74; Vidoo        ; seize robust web services
  75; Skivee       ; transition proactive metrics
  76; Trudoo       ; leverage value-added deliverables
  77; Wikivu       ; grow web-enabled interfaces
  78; Skinder      ; monetize bleeding-edge deliverables
  79; Voonder      ; incubate strategic applications
  80; Jabbersphere ; matrix e-business methodologies
  81; Meezzy       ; aggregate customized functionalities
  82; Tanoodle     ; embrace robust schemas
  83; Gevee        ; empower intuitive initiatives
  84; Buzzbean     ; visualize best-of-breed interfaces
  85; Youopia      ; orchestrate bleeding-edge eyeballs
  86; Yodo         ; incubate frictionless e-commerce
  87; Wikivu       ; engage killer web services
  88; Topiczoom    ; iterate e-business portals
  89; Skipfire     ; innovate bleeding-edge deliverables
  90; Aivee        ; redefine turn-key ROI
  91; Flashdog     ; morph collaborative vortals
  92; Eamia        ; engage robust infomediaries
  93; Vipe         ; drive customized methodologies
  94; Browseblab   ; innovate global e-markets
  95; Tagtune      ; iterate transparent synergies
  96; Topicblab    ; synergize B2C portals
  97; Zoomlounge   ; architect end-to-end systems
  98; Zooxo        ; syndicate extensible e-tailers
  99; Photofeed    ; expedite viral systems
 100; Voolith      ; generate 24/7 paradigms
 101; Jamia        ; benchmark rich paradigms
 102; Vipe         ; utilize holistic vortals
